Applied Nodal Loadvector Loadcase      2
  Node     PXX[N]     PYY[N]     PZZ[N]    MXX[Nm]    MYY[Nm]    MZZ[Nm]
  3582       0.00       0.00    -103.79       0.00       0.00       0.00
  3583       0.00       0.00     -98.91       0.00       0.00       0.00
  3584       0.00       0.00     -88.69       0.00       0.00       0.00
  3585       0.00       0.00     -77.25       0.00       0.00       0.00
  3586       0.00       0.00     -60.44       0.00       0.00       0.00
  3588       0.00       0.00     -57.09       0.00       0.00       0.00
  3589       0.00       0.00     -69.59       0.00       0.00       0.00
  3590       0.00       0.00     -68.30       0.00       0.00       0.00
  3591       0.00       0.00     -61.98       0.00       0.00       0.00
  3592       0.00       0.00     -53.16       0.00       0.00       0.00
  3596       0.00       0.00     -52.58       0.00       0.00       0.00
  3597       0.00       0.00     -63.01       0.00       0.00       0.00
  3598       0.00       0.00     -71.46       0.00       0.00       0.00
  3599       0.00       0.00     -64.61       0.00       0.00       0.00
  3600       0.00       0.00     -52.00       0.00       0.00       0.00
  3601       0.00       0.00     -63.57       0.00       0.00       0.00
  3602       0.00       0.00     -70.34       0.00       0.00       0.00
  3603       0.00       0.00     -63.15       0.00       0.00       0.00
  3604       0.00       0.00     -52.85       0.00       0.00       0.00
  3616       0.00       0.00     -79.90       0.00       0.00       0.00
  3620       0.00       0.00    -168.77       0.00       0.00       0.00
  3621       0.00       0.00    -148.17       0.00       0.00       0.00
  3622       0.00       0.00    -168.68       0.00       0.00       0.00
  3623       0.00       0.00    -185.30       0.00       0.00       0.00
  3624       0.00       0.00    -181.65       0.00       0.00       0.00
  3625       0.00       0.00    -175.16       0.00       0.00       0.00
  3626       0.00       0.00    -170.32       0.00       0.00       0.00
  3627       0.00       0.00    -147.54       0.00       0.00       0.00
  3628       0.00       0.00    -102.58       0.00       0.00       0.00
  3629       0.00       0.00     -67.98       0.00       0.00       0.00
  3630       0.00       0.00     -92.62       0.00       0.00       0.00
  3631       0.00       0.00    -123.78       0.00       0.00       0.00
  3632       0.00       0.00    -146.72       0.00       0.00       0.00
  3633       0.00       0.00    -156.97       0.00       0.00       0.00
  3634       0.00       0.00    -137.32       0.00       0.00       0.00
  3635       0.00       0.00    -112.56       0.00       0.00       0.00
  3636       0.00       0.00    -100.89       0.00       0.00       0.00
  3637       0.00       0.00     -92.85       0.00       0.00       0.00
  3638       0.00       0.00     -76.18       0.00       0.00       0.00
  3639       0.00       0.00     -58.16       0.00       0.00       0.00
  3640       0.00       0.00     -75.90       0.00       0.00       0.00
  3641       0.00       0.00     -90.97       0.00       0.00       0.00
  3642       0.00       0.00     -94.24       0.00       0.00       0.00
  3643       0.00       0.00     -93.92       0.00       0.00       0.00
  3644       0.00       0.00     -94.27       0.00       0.00       0.00
  3645       0.00       0.00     -97.23       0.00       0.00       0.00
  3646       0.00       0.00    -105.05       0.00       0.00       0.00
  3647       0.00       0.00    -119.45       0.00       0.00       0.00
  3648       0.00       0.00    -132.40       0.00       0.00       0.00
  3649       0.00       0.00    -137.12       0.00       0.00       0.00
